Ef[unit],T[K],N[e/uc],DOS(ef)[1/(Ha*uc)],S[V/K],sigma/tau0[1/(ohm*m*s)],RH[m**3/C],kappae/tau0[W/(m*K*s)],cv[J/(mol*K)],chi[m**3/mol],sigma[1/(ohm*m)],kappae[W/(m*K)],Ef[eV],S[µV/K],κ_l,ZT
-0.0779978,300,-1.92202e-12,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.4511464400124297e-05,0.0,0.0,
-0.0779978,350,-1.92202e-12,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.4511464400124297e-05,0.0,0.0,
-0.0779978,400,1.90825e-10,1.56109e-07,-0.000202698,6595690000.0,-14.4384,4898200.0,1.0991e-06,9.50001e-21,6.59569e-05,4.8982e-08,-1.4511464400124297e-05,-202.69799999999998,0.0,0.022130062473645882
-0.0779978,450,1.34268e-10,2.89239e-06,-0.000219159,483257000000.0,-0.128377,382806000.0,1.96122e-05,1.76016e-19,0.00483257,3.82806e-06,-1.4511464400124297e-05,-219.159,0.0,0.02728541423121998
-0.0779978,500,-4.30497e-09,1.63022e-05,-0.000292719,3904240000000.0,-0.0164009,2753840000.0,0.000103685,9.92068e-19,0.0390424,2.75384e-05,-1.4511464400124297e-05,-292.719,0.0,0.060739279053767574
-0.0779978,550,-2.93648e-08,6.31954e-05,-0.000302076,17597200000000.0,-0.00359322,11478600000.0,0.000375409,3.8457500000000005e-18,0.175972,0.000114786,-1.4511464400124297e-05,-302.076,0.0,0.07693957466682566
-0.0779978,600,-1.26937e-07,0.000194181,-0.000299021,59528500000000.0,-0.001018,36275500000.0,0.00108288,1.18168e-17,0.595285,0.000362755,-1.4511464400124297e-05,-299.021,0.0,0.08803718785938283
-0.0779978,650,-4.15617e-07,0.000500554,-0.00029096,165637000000000.0,-0.000355392,94888300000.0,0.00262835,3.04611e-17,1.65637,0.000948883,-1.4511464400124297e-05,-290.96,0.0,0.09605602767916044
-0.0779978,700,-1.13679e-06,0.00112856,-0.000282056,398879000000000.0,-0.000143539,216304000000.0,0.00561028,6.86783e-17,3.98879,0.00216304,-1.4511464400124297e-05,-282.056,0.0,0.10269406543038677
-0.0779978,750,-2.7122e-06,0.00228596,-0.000273187,855872000000000.0,-6.51566e-05,441309000000.0,0.0108063,1.39112e-16,8.55872,0.00441309,-1.4511464400124297e-05,-273.187,0.0,0.10855438104581817
-0.0779978,800,-5.79864e-06,0.00424617,-0.000264479,1673600000000000.0,-3.24393e-05,824888000000.0,0.0191744,2.584e-16,16.736,0.00824888,-1.4511464400124297e-05,-264.47900000000004,0.0,0.11353481502037378
-0.0779978,850,-1.13448e-05,0.0073422,-0.000256064,3031380000000000.0,-1.73589e-05,1435210000000.0,0.031781,4.46808e-16,30.3138,0.0143521,-1.4511464400124297e-05,-256.064,0.0,0.11771746622648714
-0.0779978,900,-2.06084e-05,0.0119608,-0.000247842,5150210000000000.0,-9.90515e-06,2352380000000.0,0.0497902,7.27873e-16,51.5021,0.0235238,-1.4511464400124297e-05,-247.842,0.0,0.12103466679588597
-0.0779978,950,-3.51775e-05,0.0185304,-0.00023992,8289140000000000.0,-5.95361e-06,3666300000000.0,0.0744128,1.12766e-15,82.8914,0.036663,-1.4511464400124297e-05,-239.92,0.0,0.12363401886664241
-0.0779978,1000,-5.6945e-05,0.0275059,-0.000232211,1.27398e+16,-3.74161e-06,5475230000000.0,0.106835,1.67387e-15,127.398,0.0547523,-1.4511464400124297e-05,-232.21099999999998,0.0,0.12546593289557437
-0.0779978,1050,-8.80786e-05,0.0393557,-0.000224599,1.88182e+16,-2.44309e-06,7882210000000.0,0.148194,2.39498e-15,188.182,0.0788221,-1.4511464400124297e-05,-224.599,0.0,0.12645471125929744
-0.0779978,1100,-0.000130975,0.0545478,-0.000217127,2.68569e+16,-1.64512e-06,10993700000000.0,0.199548,3.3195e-15,268.569,0.10993699999999999,-1.4511464400124297e-05,-217.127,0.0,0.1266870867385916
-0.0779978,1150,-0.000188198,0.0735386,-0.000209737,3.71964e+16,-1.13936e-06,14916900000000.0,0.261856,4.47518e-15,371.964,0.149169,-1.4511464400124297e-05,-209.737,0.0,0.12614506789399005
-0.0779978,1200,-0.000262411,0.0967608,-0.000202473,5.01765e+16,-8.08817e-07,19755700000000.0,0.335945,5.88836e-15,501.765,0.197557,-1.4511464400124297e-05,-202.47299999999998,0.0,0.12494630671711966
